code_commune,nom,population,IMD4_national,income_median,IES,poverty_rate
01001,L'Abergement-Clémenciat,860.0,-0.1328555472989966,25820.0,-0.182806396218501,
01002,L'Abergement-de-Varey,270.0,-0.1601629726564422,24480.0,-0.21151177301359197,
01004,Ambérieu-en-Bugey,15934.0,0.439430117838076,21660.0,0.47280915746399166,17.0
01005,Ambérieux-en-Dombes,1906.0,-0.0992527443976029,24610.0,-0.14273553574133266,
01006,Ambléon,115.0,-0.1790708416315446,24210.0,-0.23246652603836213,
01007,Ambronay,2841.0,0.1848434458261411,24860.0,0.17865929390557686,
01008,Ambutrix,760.0,-0.0875435413102609,26300.0,-0.13224804128374645,
01009,Andert-et-Condon,348.0,-0.1370837626338046,24810.0,-0.18592795803367068,
01010,Anglefort,1174.0,-0.1426034039954761,24700.0,-0.19199472013925778,
01011,Apremont,415.0,-0.1255746163757599,24530.0,-0.1724162087372616,
01012,Aranc,331.0,-0.1887609006399769,24270.0,-0.24354666579316678,
01013,Arandas,138.0,-0.2079315938651858,22180.0,-0.2614983800106224,
01014,Arbent,3555.0,-0.0786103329374502,22410.0,-0.11543761535895966,13.0
01015,Arboys en Bugey,710.0,-0.153291162389281,23800.0,-0.2025499162601519,
01016,Arbigny,462.0,-0.164932375942226,23080.0,-0.2144526427805044,
01017,Argis,419.0,-0.1339655989648974,20790.0,-0.17500601509564503,
01021,Ars-sur-Formans,1528.0,-0.0623911099727768,26430.0,-0.10396209400763091,
01022,Artemare,1139.0,-0.0449698463394178,22000.0,-0.07655858903653011,
01024,Attignat,3409.0,-0.0311145536696865,24460.0,-0.06529465478167505,7.0
01025,Bâgé-Dommartin,4050.0,-0.118060639204908,24880.0,-0.16449679994904634,6.0
01026,Bâgé-le-Châtel,971.0,-0.0019391793547529,22860.0,-0.029417479530421595,
01027,Balan,3077.0,-0.0519208622381237,25770.0,-0.09104449795376994,
01028,Baneins,621.0,-0.1232850146733816,25520.0,-0.17147657472623523,
01029,Beaupont,734.0,-0.1353987897119197,21350.0,-0.1777406151936603,
01030,Beauregard,872.0,0.1421893000224567,24240.0,0.13139748191867906,
01031,Bellignat,3525.0,1.358108658402608,20550.0,1.5156652715435288,20.0
01032,Béligneux,3535.0,0.6691254565326625,23060.0,0.7303842889695479,8.0
01033,Valserhône,16712.0,0.1111329270985195,23780.0,0.09701848848014231,17.0
01034,Belley,9388.0,0.0120271501363755,21180.0,-0.010405857325340509,18.0
01035,Belleydoux,306.0,-0.1835700134483784,26160.0,-0.2408014024911392,
01036,Valromey-sur-Séran,1351.0,-0.147088671559406,23820.0,-0.19555899759104955,
01037,Bénonces,311.0,-0.1763900941099417,21770.0,-0.2249889561856264,
01038,Bény,777.0,-0.144068004602755,24250.0,-0.19288516327731373,
01040,Béréziat,475.0,-0.1444349806275912,23440.0,-0.1918806966205711,
01041,Bettant,774.0,0.0372881002357149,25150.0,0.011027313924016416,
01042,Bey,286.0,-0.1054687058762959,25520.0,-0.15129468779503114,
01043,Beynost,5198.0,1.9349803982055576,28730.0,2.155124248999279,6.0
01044,Billiat,713.0,-0.1363115873880258,28550.0,-0.19092286068399808,
01045,Birieux,275.0,-0.1829094603931836,28180.0,-0.24316251272364744,
01046,Biziat,889.0,-0.118297350499628,24260.0,-0.16371001983699393,
01047,Blyes,1401.0,-0.0178913517212481,27110.0,-0.054615762043714475,
01049,La Boisse,3449.0,0.0348138057438593,26780.0,0.005599353438739565,
01050,Boissey,396.0,-0.1447035021438307,23180.0,-0.1917185922704783,
01052,Bouligneux,318.0,-0.1987604608596794,27630.0,-0.26029418755517275,
01053,Bourg-en-Bresse,42372.0,1.661736072682647,20210.0,1.8603045392004658,24.0
01054,Bourg-Saint-Christophe,1562.0,-0.0827326832748674,27320.0,-0.1283890355548043,
01056,Boyeux-Saint-Jérôme,367.0,-0.1728568253214444,21640.0,-0.22073617666671405,
01057,Boz,513.0,-0.1244242269768496,24300.0,-0.1707192671169096,
01058,Brégnier-Cordon,804.0,-0.023575806253268,23420.0,-0.05493864151810968,
01060,Brénod,576.0,-0.1690195260561495,24970.0,-0.22237274852766498,
01061,Brens,1123.0,-0.0336531319113543,25110.0,-0.06926667167634618,
01062,Bressolles,1028.0,-0.0939246097230945,28710.0,-0.14314152992172569,
01063,Brion,592.0,2.222517499843301,25400.0,2.485989234312452,
01064,Briord,1119.0,-0.0991093529453567,23440.0,-0.14053691360765302,
01065,Buellas,1899.0,-0.0796395728438916,26810.0,-0.12409748986547409,
01067,Ceignes,257.0,-0.1667171744402721,25900.0,-0.22129335653406731,
01068,Cerdon,747.0,-0.1277890335589218,21410.0,-0.16923778126629654,
01069,Certines,1531.0,-0.0991354873604696,25570.0,-0.14420239273418944,
01071,Cessy,5832.0,0.0718883715295562,42540.0,0.028250414144977417,7.0
01072,Ceyzériat,3328.0,1.0126876122318145,25320.0,1.1156548508137727,7.0
01073,Ceyzérieu,1064.0,-0.1339668983020037,25250.0,-0.18313212375106697,
01074,Chalamont,2533.0,-0.1182926503049098,23720.0,-0.16276368998261942,11.0
01075,Chaleins,1505.0,-0.112322986762241,24890.0,-0.15801412357773317,
01076,Chaley,129.0,-0.162530385508013,21070.0,-0.20792276913970728,
01077,Challes-la-Montagne,184.0,-0.1695293391287565,24620.0,-0.22236015813601553,
01078,Challex,1632.0,-0.0519593698678392,44460.0,-0.1138867442828083,
01079,Champagne-en-Valromey,831.0,-0.1388482853391904,22770.0,-0.18433992366665977,
01080,Champdor-Corcelles,665.0,-0.1745507083732016,23720.0,-0.22649146770777326,
01081,Champfromier,725.0,-0.1713827309532845,27400.0,-0.2289319134500821,
01082,Chanay,574.0,-0.1575474450920486,27880.0,-0.21398561341831987,
01083,Chaneins,1046.0,-0.1153309304487911,25580.0,-0.16256454726726943,
01084,Chanoz-Châtenay,989.0,-0.1198835415421957,24050.0,-0.1651433851529767,
